region,n,mean_sal,med_sal,sd_sal
1,135378,110896.09796160749,90050.70300000001,76433.17193515829
2,113772,94045.8842834643,75800.60949999999,68983.86528758002
3,106522,84023.55089350932,67834.58249999999,61566.5166732022
4,32533,74786.9012309993,55779.012,62300.771869587086
5,28742,80580.63627626818,64569.064,58950.58401764732
6,26079,83507.78302793819,67590,62161.3882386055
7,26118,117274.29353138832,98331.551,80226.67027724217
